person_id	surface	reading	kind	note	added
hololive-nekomataokayu	猫又おかゆ	おかゆ	short_name	本人チャンネル名の短縮名（Okayu）からフルネームへ	2026-09-09
hololive-inugamikorone	戌神ころね	ころね	short_name	本人チャンネル名の短縮名（Korone）からフルネームへ	2026-09-09
hololive-shiranuiflare	不知火フレア	ふれあ	short_name	本人チャンネル名の短縮名（Flare）からフルネームへ	2026-09-09
hololive-shiroganenoel	白銀ノエル	のえる	short_name	本人チャンネル名の短縮名（Noel）からフルネームへ	2026-09-09
hololive-tsunomakiwatame	角巻わため	わため	short_name	本人チャンネル名の短縮名（Watame）からフルネームへ	2026-09-09
hololive-tokoyamitowa	常闇トワ	とわ	short_name	本人チャンネル名の短縮名（Towa）からフルネームへ	2026-09-09
hololive-himemoriluna	姫森ルーナ	るーな	short_name	本人チャンネル名の短縮名（Luna）からフルネームへ	2026-09-09
hololive-yukihanalamy	雪花ラミィ	らみぃ	short_name	本人チャンネル名の短縮名（Lamy）からフルネームへ	2026-09-09
hololive-momosuzunene	桃鈴ねね	ねね	short_name	本人チャンネル名の短縮名（Nene）からフルネームへ	2026-09-09
hololive-omarupolka	尾丸ポルカ	ぽるか	short_name	本人チャンネル名の短縮名（Polka）からフルネームへ	2026-09-09
hololive-takanelui	鷹嶺ルイ	るい	short_name	本人チャンネル名の短縮名（Lui）からフルネームへ	2026-09-09
hololive-hakuikoyori	博衣こより	こより	short_name	本人チャンネル名の短縮名（Koyori）からフルネームへ	2026-09-09
hololive-kazamairoha	風真いろは	いろは	short_name	本人チャンネル名の短縮名（Iroha）からフルネームへ	2026-09-09
hololive-otonosekanade	音乃瀬奏	かなで	short_name	本人チャンネル名の短縮名（Kanade）からフルネームへ	2026-09-09
hololive-ichijouririka	一条莉々華	りりか	short_name	本人チャンネル名の短縮名（Ririka）からフルネームへ	2026-09-09
hololive-juufuuteiraden	儒烏風亭らでん	らでん	short_name	本人チャンネル名の短縮名（Raden）からフルネームへ	2026-09-09
hololive-todorokihajime	轟はじめ	はじめ	short_name	本人チャンネル名の短縮名（Hajime）からフルネームへ	2026-09-09
hololive-isakiriona	響咲リオナ	りおな	short_name	本人チャンネル名の短縮名（Riona）からフルネームへ	2026-09-09
hololive-koganeiniko	虎金妃笑虎	にこ	short_name	本人チャンネル名の短縮名（Niko）からフルネームへ	2026-09-09
hololive-rindochihaya	輪堂千速	ちはや	short_name	本人チャンネル名の短縮名（Chihaya）からフルネームへ	2026-09-09
